Year,Annual Land Use for Agriculture in Brazil (1000 ha)
1961,156959
1962,160666
1963,164373
1964,168080
1965,171787
1966,175494
1967,179201
1968,182908
1969,186615
1970,190328
1971,193834
1972,197340
1973,200846
1974,204352
1975,207859
1976,212780
1977,217701
1978,222622
1979,227543
1980,232517.208
1981,234413.8
1982,236310.6
1983,238207.4
1984,240104.2
1985,241998.707
1986,240579.2
1987,239159.4
1988,237739.6
1989,236319.8
1990,234900
1991,233480.2
1992,232060.4
1993,230640.6
1994,229220.8
1995,227805
1996,227908.7
1997,228012.4
1998,228116.1
1999,228219.8
2000,228323.5
2001,228427.2
2002,228530.9
2003,228634.6
2004,228738.3
2005,228842
2006,228951
2007,229671.8
2008,230392.6
2009,231113.4
2010,231834.2
2011,232555
2012,233275.8
2013,233996.6
2014,234717.4
2015,235438.2
2016,236159
2017,236878.6
2018,236878.801
2019,236878.801
2020,236878.801
