Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,Year
Cereals excluding rice,94786.4717,101345.7322,106367.5445,114446.057,121813.0317,134250.4958,142219.1053,150487.9532,155926.7597,164484.59,176160.7085,180264.2492,192550.7017,192114.0659,206646.035,218326.4556,223223.1414,240006.0336,244704.1181,255136.7061,257546.5859,259564.3848,267098.2858,283913.1988,284777.3591,288024.4113,292243.7421,295752.6337,297701.1631,295866.0182,285287.4307,280033.8835,274531.5664,273549.5202,281155.9965,297993.776,296931.3104,296819.3141,298694.0048,289589.999,293826.5526,299019.9112,305103.1585,317340.7778,316179.8412,322237.6125,332661.5823,334662.2289,337844.5298,344951.206,360837.6929,359672.6823,372781.4545,376387.1732,375176.4374,383342.9594,389279.1679,381562.3362,386126.0034,397074.0052,,Cereals excluding rice
Rice,519626.322,538910.6461,541149.3425,564135.5775,564572.4022,575142.7487,581605.5438,592782.6864,600505.9628,611188.6882,622243.6036,614326.6779,636873.3916,639972.3348,662219.2708,661044.8334,673130.8107,678949.0836,671324.8437,687546.3092,691669.0451,679608.4013,686145.3712,698987.3689,696978.7388,699211.9499,691318.6874,716533.7474,729708.0869,724030.492,721508.2644,724233.8463,716487.7426,724737.3494,743802.2741,756602.1059,756845.5489,756174.9335,785945.7976,768020.9556,758873.213,747246.7394,749038.1273,766418.7584,782232.5948,786287.6525,788498.3492,807036.3318,806356.7391,821426.462,826584.1935,824986.1064,833373.7734,828676.2714,818632.4177,823527.0537,834600.398,842273.1039,821710.3188,839150.8784,,Rice
Raw milk of sheep,29940.5792,29897.9497,30259.7067,30570.293,30759.3916,31245.9745,31904.9796,32262.137,31963.5743,31961.3834,31554.1117,31400.4203,31880.3497,32284.8613,32897.0579,33565.3679,34440.012,35373.3579,36092.0235,37151.6103,37900.2957,38484.3601,39498.1982,37966.5677,38137.8699,37804.033,38332.3009,39249.7449,39887.7745,41230.2436,43473.1667,45865.4514,45788.0037,46853.2246,47065.4454,47714.3496,47548.9026,47917.3011,48409.6006,48736.9836,48567.1386,48659.2237,47341.2098,47567.5471,49234.2524,49785.1875,51140.4395,50530.0668,52359.5219,58700.3614,59149.6007,57632.8549,55038.0739,55128.3254,55572.9132,57403.7976,57206.86,57731.8777,59250.6463,59232.1607,,Raw milk of sheep
Raw milk of goats,17506.5169,17304.3223,17097.6297,17241.3938,17509.9943,17306.4691,17502.4754,17857.167,17960.8701,18012.7756,18092.0806,17995.1895,18123.0261,18591.5187,19246.0387,19826.7245,20636.8734,21319.0161,21738.9346,21887.4666,22443.8916,22749.7739,23063.7471,23229.1763,23902.5666,24682.4451,25049.7089,25726.5819,26400.882,29213.2546,30604.5663,30828.0785,31948.2481,33814.1224,35048.174,34423.0065,35610.5477,36120.2688,38061.9516,37715.8831,37506.2549,38733.6565,39718.6715,40106.5196,41690.2279,41982.0601,43041.4035,43171.6945,44700.0666,51610.8056,53710.8193,51701.1983,47379.5998,46791.8076,48002.102,49051.2225,49758.3259,51159.5647,52388.8043,52133.9675,,Raw milk of goats
Raw milk of cattle,623301.9847,621494.3753,621427.2428,615651.0211,616399.0074,629647.3933,629403.1037,633041.2941,632836.2748,623183.0911,625457.9416,631506.5112,631002.3881,638376.6745,645599.9188,650203.776,657095.0467,662488.4113,670958.934,678534.3128,682325.8538,686171.7664,691722.7049,691798.0552,690587.6877,694133.9842,687405.1804,682777.4966,684265.6597,683438.942,676435.0298,658448.361,651082.4145,654816.6242,650628.9836,640063.9403,634455.7935,629118.437,627191.0724,622937.8342,626104.4594,629802.1525,641619.4761,646991.1909,650074.0582,658450.2953,669595.692,676694.2606,689061.8311,693088.704,697029.8915,707440.1831,708533.8985,716163.963,709992.74,713529.8508,702229.1652,702237.9187,697368.986,696053.729,,Raw milk of cattle
Raw milk of camel,2988.0074,3123.3218,3313.4139,3533.1217,3698.7479,3906.7081,4086.5509,4234.0471,4273.9886,4621.3569,4708.7587,4766.1192,4705.2172,4752.1526,4957.2047,5063.8292,5251.0546,5432.122,5469.3819,5487.3522,5650.6393,5818.1012,5863.7939,5918.876,6030.1167,6049.9189,6215.2156,6352.7904,6465.1644,6196.5841,6344.2692,6150.3884,6039.0998,6178.3029,6361.6356,6419.7238,6536.6697,6480.577,6576.2931,6877.1546,6740.2269,7152.7891,7058.0732,7482.1938,7551.377,7067.1042,7973.5086,8675.1432,8868.2649,8805.5731,9167.5296,11306.5896,11726.2807,11421.808,11826.9948,11879.6452,12107.2919,12197.2624,12914.2527,13108.9685,,Raw milk of camel
Raw milk of buffalo,37291.0735,37851.9256,38269.3012,38634.0207,39161.0272,39315.5878,38610.2989,40188.8514,40704.2706,41486.9677,44403.4797,45014.753,45486.3828,46027.2512,46617.2513,48645.8992,50387.464,48871.511,51577.2631,54143.0828,56209.6713,57123.6803,58240.5189,62122.9569,64277.3487,68153.5955,69202.8029,71358.3073,75205.5867,76155.3925,81491.4964,77911.1057,78844.6561,80900.9351,82464.1755,85030.5556,86196.7139,89245.7989,89169.5078,90330.9266,93263.307,94866.6792,95674.536,98332.0338,101125.0321,102767.3817,106203.8683,107490.3621,109756.7916,112269.3221,115049.3425,116819.5025,118429.9769,120079.417,123895.895,127224.5806,129305.6591,132823.5699,132569.4555,133302.269,,Raw milk of buffalo
Meat of sheep fresh or chilled,244311.6463,246206.5713,246453.5956,249305.7814,253028.5282,253851.6964,259065.8672,262490.5601,265083.3554,260525.4577,261814.7145,254155.2951,245639.0596,248591.6384,253115.5884,251698.3888,246224.5996,248410.6909,252672.2334,259156.0162,261334.0735,266068.709,263645.8252,264812.7904,265458.0106,267927.7148,270969.8432,275612.8548,283339.8782,284350.1091,276085.2252,258478.1669,246434.5047,240876.5917,230004.9354,224854.1055,219746.1933,219353.4438,220432.7355,220791.6206,213709.4373,211040.4773,213384.1111,219684.9512,224703.1124,223830.6103,224004.6573,219588.4316,215697.8814,207975.0097,212021.3446,216993.291,225127.2892,223197.8154,229381.4056,230319.4235,233205.6671,233604.3573,236924.446,241120.8039,,Meat of sheep fresh or chilled
Meat of pig with the bone fresh or chilled,98015.3932,103496.9166,106793.771,106874.5177,112180.058,112613.8163,119822.6665,120873.4014,120339.9522,122938.3266,137845.8739,144036.9586,145713.1713,147080.3281,144949.9231,141577.8166,148649.6779,154717.906,160802.6707,168207.4874,165423.9142,163083.0327,163104.1501,166515.1077,166598.1203,171531.9167,172768.2421,173579.0856,175422.5888,175668.5469,178643.3722,178614.7963,178766.2858,180179.1447,181129.5379,181491.4974,173282.2353,178123.43,180273.2222,181185.0803,179101.062,181470.6109,183138.8601,182367.5377,184440.614,188206.9166,188405.4788,191403.4346,194274.2728,195469.3968,196046.1015,197148.7453,196035.8964,199113.5691,200750.3527,200964.7795,201181.7694,201415.4761,186721.6166,200012.1799,,Meat of pig with the bone fresh or chilled
Meat of goat fresh or chilled,64563.5683,68239.1041,69877.1759,69341.4446,68863.8535,69370.2176,69599.3479,70783.3651,70878.049,70814.4696,71692.9826,72565.1327,72484.0003,74184.7625,76187.8825,78122.5559,78780.33,82024.9859,85309.341,87382.844,89142.2349,90625.2004,92622.2581,90723.8315,90581.9894,93024.2536,97982.5039,102739.3979,108701.0196,109543.8792,110890.9352,112631.0929,113331.511,118498.3605,124719.6605,132689.2966,129017.7873,133640.697,136072.8707,140867.2869,144090.4303,145781.8878,148605.0567,154131.6703,158566.5828,158592.3793,164239.3425,169155.2851,170570.1997,164490.1444,165741.3136,172315.4472,180996.9729,184984.386,188552.0248,193223.3423,196374.3434,200040.7383,208717.0775,213392.2794,,Meat of goat fresh or chilled
