Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1961","1961","kg CO2eq/kg product","0.1456","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1962","1962","kg CO2eq/kg product","0.1456","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1963","1963","kg CO2eq/kg product","0.1537","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1964","1964","kg CO2eq/kg product","0.1573","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1965","1965","kg CO2eq/kg product","0.166","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1966","1966","kg CO2eq/kg product","0.1664","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1967","1967","kg CO2eq/kg product","0.1701","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1968","1968","kg CO2eq/kg product","0.1748","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1969","1969","kg CO2eq/kg product","0.1804","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1970","1970","kg CO2eq/kg product","0.1901","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1971","1971","kg CO2eq/kg product","0.1816","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1972","1972","kg CO2eq/kg product","0.1918","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1973","1973","kg CO2eq/kg product","0.1906","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1974","1974","kg CO2eq/kg product","0.1954","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1975","1975","kg CO2eq/kg product","0.2083","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1976","1976","kg CO2eq/kg product","0.1975","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1977","1977","kg CO2eq/kg product","0.2073","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1978","1978","kg CO2eq/kg product","0.2024","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1979","1979","kg CO2eq/kg product","0.2125","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1980","1980","kg CO2eq/kg product","0.2233","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1981","1981","kg CO2eq/kg product","0.2126","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1982","1982","kg CO2eq/kg product","0.2061","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1983","1983","kg CO2eq/kg product","0.2286","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1984","1984","kg CO2eq/kg product","0.2167","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1985","1985","kg CO2eq/kg product","0.2122","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1986","1986","kg CO2eq/kg product","0.2127","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1987","1987","kg CO2eq/kg product","0.2253","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1988","1988","kg CO2eq/kg product","0.241","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1989","1989","kg CO2eq/kg product","0.2217","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1990","1990","kg CO2eq/kg product","0.2087","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1991","1991","kg CO2eq/kg product","0.2105","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1992","1992","kg CO2eq/kg product","0.1958","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1993","1993","kg CO2eq/kg product","0.2021","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1994","1994","kg CO2eq/kg product","0.1954","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1995","1995","kg CO2eq/kg product","0.2106","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1996","1996","kg CO2eq/kg product","0.2022","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1997","1997","kg CO2eq/kg product","0.1982","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1998","1998","kg CO2eq/kg product","0.1997","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","1999","1999","kg CO2eq/kg product","0.2057","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2000","2000","kg CO2eq/kg product","0.2011","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2001","2001","kg CO2eq/kg product","0.1981","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2002","2002","kg CO2eq/kg product","0.2047","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2003","2003","kg CO2eq/kg product","0.2082","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2004","2004","kg CO2eq/kg product","0.1921","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2005","2005","kg CO2eq/kg product","0.1967","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2006","2006","kg CO2eq/kg product","0.2023","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2007","2007","kg CO2eq/kg product","0.1995","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2008","2008","kg CO2eq/kg product","0.185","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2009","2009","kg CO2eq/kg product","0.1898","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2010","2010","kg CO2eq/kg product","0.1981","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2011","2011","kg CO2eq/kg product","0.1964","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2012","2012","kg CO2eq/kg product","0.1997","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2013","2013","kg CO2eq/kg product","0.1864","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.1837","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2015","2015","kg CO2eq/kg product","0.181","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2016","2016","kg CO2eq/kg product","0.1783","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2017","2017","kg CO2eq/kg product","0.1782","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2018","2018","kg CO2eq/kg product","0.1799","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2019","2019","kg CO2eq/kg product","0.1766","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","F1718","Cereals excluding rice","2020","2020","kg CO2eq/kg product","0.1797","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1961","1961","kg CO2eq/kg product","2.4096","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1962","1962","kg CO2eq/kg product","2.3798","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1963","1963","kg CO2eq/kg product","2.1898","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1964","1964","kg CO2eq/kg product","2.1456","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1965","1965","kg CO2eq/kg product","2.2222","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1966","1966","kg CO2eq/kg product","2.2021","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1967","1967","kg CO2eq/kg product","2.0967","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1968","1968","kg CO2eq/kg product","2.0538","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1969","1969","kg CO2eq/kg product","2.0316","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1970","1970","kg CO2eq/kg product","1.932","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1971","1971","kg CO2eq/kg product","1.9585","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1972","1972","kg CO2eq/kg product","1.9992","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1973","1973","kg CO2eq/kg product","1.9015","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1974","1974","kg CO2eq/kg product","1.9278","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1975","1975","kg CO2eq/kg product","1.8551","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1976","1976","kg CO2eq/kg product","1.9013","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1977","1977","kg CO2eq/kg product","1.8218","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1978","1978","kg CO2eq/kg product","1.7625","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1979","1979","kg CO2eq/kg product","1.789","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1980","1980","kg CO2eq/kg product","1.7324","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1981","1981","kg CO2eq/kg product","1.6867","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1982","1982","kg CO2eq/kg product","1.6106","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1983","1983","kg CO2eq/kg product","1.5315","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1984","1984","kg CO2eq/kg product","1.5021","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1985","1985","kg CO2eq/kg product","1.4887","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1986","1986","kg CO2eq/kg product","1.4919","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1987","1987","kg CO2eq/kg product","1.4982","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1988","1988","kg CO2eq/kg product","1.4699","E","Estimated value"
"EI","Emissions intensities","001","World","71761","Emissions intensity","0113","Rice","1989","1989","kg CO2eq/kg product","1.4185","E","Estimated value"
