Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1961","1961","kilotonnes","94786.4717","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1962","1962","kilotonnes","101345.7322","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1963","1963","kilotonnes","106367.5445","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1964","1964","kilotonnes","114446.057","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1965","1965","kilotonnes","121813.0317","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1966","1966","kilotonnes","134250.4958","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1967","1967","kilotonnes","142219.1053","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1968","1968","kilotonnes","150487.9532","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1969","1969","kilotonnes","155926.7597","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1970","1970","kilotonnes","164484.59","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1971","1971","kilotonnes","176160.7085","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1972","1972","kilotonnes","180264.2492","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1973","1973","kilotonnes","192550.7017","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1974","1974","kilotonnes","192114.0659","E","Estimated value"
"EI","Emissions intensities","001","World","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","1975","1975","kilotonnes","206646.035","E","Estimated value"
