Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1961","1961","1000 ha","31444","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1962","1962","1000 ha","31971","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1963","1963","1000 ha","32498","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1964","1964","1000 ha","33025","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1965","1965","1000 ha","33552","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1966","1966","1000 ha","34079","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1967","1967","1000 ha","34606","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1968","1968","1000 ha","35133","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1969","1969","1000 ha","35660","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1970","1970","1000 ha","36190","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1971","1971","1000 ha","37393","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1972","1972","1000 ha","38596","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1973","1973","1000 ha","39799","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1974","1974","1000 ha","41002","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1975","1975","1000 ha","42207","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1976","1976","1000 ha","45369","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1977","1977","1000 ha","48531","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1978","1978","1000 ha","51693","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1979","1979","1000 ha","54855","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1980","1980","1000 ha","58018.208","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1981","1981","1000 ha","58977","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1982","1982","1000 ha","59936","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1983","1983","1000 ha","60895","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1984","1984","1000 ha","61854","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1985","1985","1000 ha","62810.707","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1986","1986","1000 ha","61540","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1987","1987","1000 ha","60269","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1988","1988","1000 ha","58998","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1989","1989","1000 ha","57727","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","1990","1990","1000 ha","56456","I","Imputed value"
